Date,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
1985-04-29,0.0084824836712238,8.41,7.069230769230769,-0.3091190108191699,0.0268434910245529,1.5,92.05454545454543,7.209090909090909,114.11,150.369995
1985-04-30,0.0084817642069578,8.58,7.107692307692308,-0.3410852713178314,0.0268362872282157,1.5,91.92727272727272,7.204545454545455,146.42,149.699997
1985-05-01,0.0084810448647276,8.83,7.146153846153847,-2.7691350342252563,0.0268290872972976,1.45,91.8,7.2,124.71,151.570007
1985-05-02,0.0121674237508084,8.83,7.184615384615385,0.2560000000000118,0.0420317148393634,1.43,92.00434782608696,7.208695652173914,109.93,152.410004
1985-05-03,0.0121659434689114,8.28,7.223076923076923,-0.1595914458984992,0.0420140556113501,1.5,92.20869565217392,7.217391304347826,169.3,154.130005
1985-05-06,0.0121644635471485,7.97,7.261538461538461,0.0,0.0419964112157611,1.49,92.41304347826086,7.22608695652174,56.71,154.520004
1985-05-07,0.0121629839854087,7.98,7.300000000000001,0.2237851662403978,0.0419787816340111,1.51,92.61739130434782,7.234782608695652,47.17,152.300003
1985-05-08,0.0121615047835144,7.71,7.338461538461539,-0.1913875598086201,0.0419611668474262,1.53,92.82173913043478,7.243478260869566,37.64,153.270004
1985-05-09,0.0121600259413989,8.08,7.376923076923077,0.703100031959103,0.0419435668373324,1.53,93.02608695652174,7.252173913043478,183.54,150.279999
1985-05-10,0.0121585474588625,8.18,7.415384615384616,-0.1904157410345996,0.0419259815852335,1.42,93.2304347826087,7.260869565217392,122.04,150.639999
1985-05-13,0.0121570693358163,8.16,7.453846153846154,2.0667726550079424,0.041908411072522,1.4,93.43478260869566,7.269565217391305,56.93,148.729996
1985-05-14,0.0121555915721272,8.02,7.492307692307692,1.7133956386292892,0.0418908552807018,1.4,93.6391304347826,7.278260869565218,91.56,147.529999
1985-05-15,0.0121541141676395,8.17,7.530769230769231,-1.1332312404287892,0.0418733141912319,1.49,93.84347826086956,7.286956521739131,38.76,148.660004
1985-05-16,0.0121526371222646,8.24,7.56923076923077,-0.8364312267657992,0.041855787785705,1.5,94.04782608695652,7.2956521739130435,178.38,149.080002
1985-05-17,0.0121511604358248,8.0,7.607692307692308,0.7497656982192957,0.0418382760456914,1.47,94.25217391304348,7.304347826086957,241.03,148.380005
1985-05-20,0.0121496841082091,7.75,7.6461538461538465,0.2480620155038693,0.0418207789527391,1.46,94.45652173913044,7.313043478260869,446.98,147.059998
1985-05-21,0.0121482081393065,7.65,7.684615384615385,-2.5982060006186303,0.0418032964885073,1.49,94.6608695652174,7.321739130434783,96.65,148.199997
1985-05-22,0.0121467325289392,7.76,7.723076923076923,0.444585582724688,0.0417858286346994,1.51,94.86521739130434,7.330434782608695,45.54,148.619995
1985-05-23,0.0121452572770408,7.8,7.761538461538462,-0.2845399936769022,0.0417683753729303,1.43,95.0695652173913,7.339130434782609,69.26,148.940002
1985-05-24,0.0121437823834114,7.46,7.800000000000001,-0.221940393151554,0.0417509366849699,1.44,95.27391304347826,7.347826086956522,147.95,149.279999
1985-05-27,0.0121423078479843,7.46,7.838461538461539,0.0,0.0417335125525664,1.44,95.47826086956522,7.356521739130435,371.61,149.279999
1985-05-28,0.0121408336705819,7.71,7.876923076923077,-1.0803940260565523,0.0417161029575119,1.38,95.68260869565218,7.365217391304348,174.75,149.979996
1985-05-29,0.0121393598510932,7.87,7.915384615384616,0.2248634757468615,0.0416987078815989,1.41,95.88695652173914,7.373913043478261,84.16,148.820007
1985-05-30,0.012137886389385,7.71,7.953846153846154,0.8333333333333304,0.0416813273066862,1.36,96.09130434782608,7.382608695652174,184.33,148.75
1985-05-31,0.0121364132853241,7.64,7.992307692307692,-0.190718372536558,0.0416639612146552,1.36,96.29565217391304,7.391304347826087,42.12,147.860001
1985-06-03,0.0121349405387993,7.84,8.03076923076923,1.3057324840764384,0.0416466095873646,1.33,96.5,7.4,321.24,146.940002
1985-06-04,0.0093023255814062,7.91,8.06923076923077,-0.7544797233574485,0.0350244549448541,1.37,96.375,7.3930232558139535,213.47,147.550003
1985-06-05,0.0093014603292695,7.87,8.107692307692307,-0.475134621476081,0.0350121921154356,1.41,96.25,7.3860465116279075,149.35,148.470001
1985-06-06,0.0093005952380931,7.77,8.146153846153847,0.1909611712285208,0.0349999378699283,1.38,96.125,7.379069767441861,34.8,147.669998
1985-06-07,0.0092997303078323,7.6,8.184615384615386,-0.1588310038119433,0.0349876921994063,1.37,96.0,7.372093023255815,115.32,148.539993
1985-06-10,0.0092988655383985,7.76,8.223076923076924,-0.7317849188673287,0.03497545509481,1.29,95.875,7.365116279069768,210.97,149.410004
1985-06-11,0.0092980009298138,7.62,8.261538461538462,0.961538461538458,0.0349632265472354,1.3,95.75,7.358139534883721,87.02,148.839996
1985-06-12,0.0092971364819671,7.4,8.3,-0.1587301587301581,0.0349510065476232,1.4,95.625,7.351162790697675,72.61,148.770004
1985-06-13,0.0092962721948364,7.38,8.338461538461539,-0.2225755166931575,0.0349387950870694,1.45,95.5,7.344186046511628,137.72,149.139999
1985-06-14,0.0092954080684215,7.27,8.376923076923077,1.4340344168260133,0.0349265921566033,1.53,95.375,7.337209302325582,77.2,147.570007
1985-06-17,0.0092945441026115,7.25,8.415384615384616,0.1885014137605889,0.0349143977472987,1.49,95.25,7.330232558139535,207.66,147.720001
1985-06-18,0.0092936802974064,6.77,8.453846153846154,1.5365318281593154,0.0349022118502295,1.53,95.125,7.323255813953488,131.59,146.339996
1985-06-19,0.0092928166527395,6.73,8.492307692307694,0.494132180358231,0.0348900344564917,1.54,95.0,7.316279069767442,38.56,145.919998
1985-06-20,0.0092919531685442,7.34,8.53076923076923,-2.243392747387818,0.0348778655571813,1.55,94.875,7.309302325581395,105.41,148.050003
